 ,x,1 (25ul250mWBaseline_3.tif),2 (25ul500mWBaseline_3.tif),3 (25ul750mWBaseline_3.tif),4 (25ul1000mWBaseline_3.tif),5 (50ul250mWBaseline_3.tif),6 (50ul500mWBaseline_3.tif),7 (50ul750mWBaseline_3.tif),8 (50ul1000mWBaseline_3.tif),9 (75ul250mWBaseline_3.tif),10 (75ul500mWBaseline_3.tif),11 (75ul750mWBaseline_3.tif),12 (75ul1000mWBaseline_3.tif)
176,175,31585.302,30563.569,28157.312,26379.398,31538.258,31618.688,31715.145,31211.456,30966.039,31726.536,31747.127,31693.772
177,176,31674.855,30600.872,28319.987,26582.987,31608.254,31692.612,31850.489,31321.572,31010.959,31779.069,31794.350,31801.856
178,177,31720.706,30655.832,28473.154,26720.711,31641.333,31725.491,31958.634,31421.514,31036.042,31828.938,31852.002,31908.904
179,178,31790.911,30724.216,28640.273,26894.344,31670.884,31756.989,32031.487,31496.350,31089.282,31931.754,31906.200,32034.592
180,179,31832.384,30764.131,28797.015,26988.005,31726.763,31774.026,32095.222,31558.399,31117.682,31949.296,31945.030,32104.088
181,180,31890.965,30876.559,28941.792,27085.228,31789.600,31771.418,32113.138,31647.858,31131.607,31966.141,31996.315,32166.988
182,181,31871.298,30982.694,29054.645,27169.501,31784.963,31775.835,32109.851,31690.750,31126.562,31966.156,32014.892,32207.387
183,182,31850.215,31048.230,29147.578,27262.920,31781.002,31737.529,32076.377,31738.508,31116.795,31947.226,32002.969,32226.420
184,183,31777.333,31102.865,29155.400,27325.799,31765.253,31724.743,32064.773,31734.845,31078.320,31907.690,31963.823,32251.222
185,184,31739.830,31116.396,29217.614,27365.875,31743.362,31722.499,32094.489,31745.150,30979.514,31854.117,31901.281,32263.451
186,185,31735.585,31188.996,29323.989,27416.849,31769.204,31745.847,32147.387,31790.740,30942.800,31789.534,31924.798,32317.262
187,186,31773.411,31265.919,29469.847,27437.915,31808.932,31803.388,32210.738,31878.398,30959.644,31734.784,31956.821,32369.366
188,187,31854.222,31353.310,29690.005,27594.135,31816.951,31855.370,32300.913,31977.031,31012.871,31746.338,31990.441,32426.794
189,188,31911.245,31414.517,29839.963,27747.283,31782.661,31893.850,32349.464,32020.033,31020.700,31783.189,32043.318,32464.842
190,189,31985.166,31442.592,29983.073,27872.858,31744.586,31960.796,32378.166,32075.601,30997.774,31781.910,32058.184,32482.293
191,190,32048.890,31510.174,30155.963,28053.633,31729.498,32018.488,32402.382,32149.681,30983.588,31750.947,32102.659,32537.389
192,191,32111.033,31645.047,30403.335,28296.235,31731.858,32113.703,32490.347,32249.215,31053.971,31752.467,32188.905,32626.878
193,192,32102.280,31735.091,30610.703,28531.914,31686.486,32183.425,32518.762,32311.561,31064.331,31754.824,32242.574,32652.557
194,193,32147.271,31852.164,30801.773,28766.014,31616.151,32289.049,32567.259,32368.303,31043.638,31757.688,32310.306,32708.120
195,194,32177.345,31921.491,30937.640,28992.244,31575.402,32380.783,32604.495,32441.672,31058.383,31724.894,32359.548,32710.008
196,195,32200.080,31972.219,31053.397,29294.047,31572.716,32426.226,32666.039,32518.839,31110.580,31767.067,32439.375,32725.678
